country,year,gdpPercap,lifeExp,code,log_gdppc
Argentina,1800,1510,33.2,ar,2.576916955965207
Bolivia,1800,854,33,bo,2.329397879361043
Brazil,1800,1110,32,br,2.443262987458695
Chile,1800,1030,32,cl,2.41077723337721
Colombia,1800,962,32,co,2.3811150807098507
Costa Rica,1800,775,30.2,cr,2.287241711178348
Cuba,1800,864,32.2,cu,2.3344537511509307
Dominican Republic,1800,667,29.9,do,2.2220658425885866
Ecuador,1800,529,32.9,ec,2.121395680707223
El Salvador,1800,974,28.7,sv,2.386498965550653
Guatemala,1800,857,25.8,gt,2.3309208305952356
Honduras,1800,675,33.9,hn,2.2272437815030623
Mexico,1800,1380,26.9,mx,2.537819095073274
Nicaragua,1800,973,25.4,ni,2.3860528489403894
Panama,1800,847,32.9,pa,2.3258234190027447
Paraguay,1800,835,35.5,py,2.3196264841556395
Peru,1800,1200,35.7,pe,2.4771212547196626
Spain,1800,1520,29.5,es,2.57978359661681
Uruguay,1800,1760,32.9,uy,2.6434526764861874
Venezuela,1800,682,32.2,ve,2.2317243833285163
Argentina,1801,1510,33.2,ar,2.576916955965207
Bolivia,1801,854,33,bo,2.329397879361043
Brazil,1801,1110,32,br,2.443262987458695
Chile,1801,1030,32,cl,2.41077723337721
Colombia,1801,962,32,co,2.3811150807098507
Costa Rica,1801,775,30.2,cr,2.287241711178348
Cuba,1801,874,32.3,cu,2.3394514413064407
Dominican Republic,1801,667,29.9,do,2.2220658425885866
Ecuador,1801,529,32.9,ec,2.121395680707223
El Salvador,1801,975,28.7,sv,2.3869446243705745
Guatemala,1801,857,25.8,gt,2.3309208305952356
Honduras,1801,675,33.9,hn,2.2272437815030623
Mexico,1801,1380,26.9,mx,2.537819095073274
Nicaragua,1801,973,25.4,ni,2.3860528489403894
Panama,1801,847,32.9,pa,2.3258234190027447
Paraguay,1801,835,35.5,py,2.3196264841556395
Peru,1801,1200,35.7,pe,2.4771212547196626
Spain,1801,1520,29.5,es,2.57978359661681
Uruguay,1801,1760,32.9,uy,2.6434526764861874
Venezuela,1801,682,32.2,ve,2.2317243833285163
Argentina,1802,1510,33.2,ar,2.576916955965207
Bolivia,1802,854,33,bo,2.329397879361043
Brazil,1802,1110,32,br,2.443262987458695
Chile,1802,1030,32,cl,2.41077723337721
Colombia,1802,962,32,co,2.3811150807098507
Costa Rica,1802,775,30.2,cr,2.287241711178348
Cuba,1802,884,32.5,cu,2.3443922736851106
Dominican Republic,1802,667,29.9,do,2.2220658425885866
Ecuador,1802,529,32.9,ec,2.121395680707223
El Salvador,1802,975,28.7,sv,2.3869446243705745
Guatemala,1802,857,25.8,gt,2.3309208305952356
Honduras,1802,675,33.9,hn,2.2272437815030623
Mexico,1802,1380,26.9,mx,2.537819095073274
Nicaragua,1802,973,25.4,ni,2.3860528489403894
Panama,1802,847,32.9,pa,2.3258234190027447
Paraguay,1802,835,35.5,py,2.3196264841556395
Peru,1802,1200,35.7,pe,2.4771212547196626
